ciao;hello
vorrei;I would like
del caffè;some coffee
per favore;please
vorrei del caffè, per favore;I would like some coffee please
arrivederci;goodbye
sì;yes
no;no
grazie;thank you
del vino;some wine
vorrei del vino, per favore;I would like some wine please
io;I
io posso;I can
io parlo;I speak
italiano;Italian
so parlare italiano;I can speak Italian
un po';a little bit
sai parlare italiano?;Can you speak Italian?
so parlare un po' di italiano;I can speak a little Italian
inglese;English
sai parlare inglese?;Can you speak English?
molto bene;very well
parli inglese molto bene;You speak English very well
dire;to say
come;how
come si dice .... in Italiano?;how do you say ... in Italian?
inglese;English
sei inglese?;Are you English?
sono inglese;I am English
americano;American
non sei americano;You are not American
non sono inglese;I am not English
felice;happy
sei felice?;Are you happy?
stanco;tired
lui;he
ma;but
sono felice ma lui è stanco;I am happy but he is tired
sono stanco;I am tired
sono inglese ma lui è italiano;I am English but he is Italian
mi chiamo;I am called
mi chiamo Pietro;I am called Peter
meraviglioso;wonderful
questo è;This is
nero;black
blu;blue
verde;green
rosso;red
bianco;white
giallo;yellow
ridicolo;ridiculous
questo è ridicolo;this is ridiculous
sei meraviglioso;You are wonderful
io ho;I have
caldo;hot
ho caldo;I am hot
freddo;cold
ho freddo;I am cold
hai caldo?;are you hot?
hai freddo?;are you cold?
non ho caldo;I am not hot
tè;tea
c'è;there is
c'è del caffè?;Is there any coffee?
c'è della birra?;Is there any beer?
della birra;some beer
c'è del vino?;Is there any wine?
sì, c'è del vino;yes, there is some wine
avete...?;do you have...? (Formal)
avete del vino?;do you have any wine? (Formal)
ci sono dei taxi?;Are there any taxis?
persone;people
ci sono delle persone?;are there any people?
molto;very
nessuno;no one, nobody
io compro;I buy
costa;it costs
quant'è?;How much is it?
caro;expensive
economico;cheap
è caro;it is expensive
è molto caro;it is very expensive
è più caro;it is more expensive
è più economico;it is cheaper
gratis;free
troppo;too much
differente;different
grande;big
è grande;It is big
piccolo;small
è piccolo;It is small
sembra;it seems
sembra più piccolo;it seems smaller
vero;true
facile;easy
difficile;difficult
urgente;urgent
importante;important
possibile;possible
è possibile;it is possible
non;not
impossibile;impossible
è impossibile;It is impossible
che cos'è?;What is it?
io so;I know
io non so;I don't know
carne di maiale;pork
manzo;beef
pollo;chicken
è manzo?;Is it beef?
in realtà;in fact, actually
mi piace;I like
negozio;shop
ci sono dei negozi?;Are there any shops?
taxi;taxi
molti;many
ci sono molti taxi;There are many taxis
ci sono molti problemi;There are many problems
non ci sono taxi;There are no taxis
non ci sono problemi;There are no problems
perché;because
sfortunatamente;unfortunately
certamente;certainly
specialmente;especially
per esempio;for example
fa male;it hurts
rumoroso;noisy
un incidente;an accident
brutto;ugly
arrabbiato;angry
è arrabbiato;He is angry
ha sete;he is thirsty
insegnante;teacher
amico;friend
mio;my
lei è;she is
è il mio insegnante;He is my teacher
divertente;funny
è bella;She is beautiful
è vero;It is true
penso;I think
penso che sia grande;I think it is big
penso che sia piccolo;I think it is small
dove;where
dov'è;where is
da quella parte;over there
è da quella parte;It is over there
qui;here
è qui;It is here
scusi;excuse me
dov'è l'ospedale?;where is the hospital?
da dove vieni?;where are you from?
io vengo dagli Stati Uniti;I come from the States
una festa;a party  
dov'è la festa?;where is the party?
che cosa significa?;what does it mean?
l'ospedale è da quella parte;the hospital is over there
gira;turn
destra;right
gira a destra;turn right
sinistra;left
sempre dritto;straight ahead
lontano;far
l'albergo è lontano;the hotel is far
vicino;near
verso;towards
nord;north
sud;south
est;east
ovest;west
adesso;now
uno;one
due;two
tre;three
quattro;four
cinque;five
sei;six
sette;seven
otto;eight
nove;nine
dieci;ten
venti;twenty
trenta;thirty
quarantacinque;forty five
il viaggio;the journey
quanto tempo ci vorrà?;How long will it take?
un'ora;one hour
che ore sono?;What time is it?
undici;eleven
sono le undici;it is 11 o’clock
dodici;twelve
sono le dodici;it is 12 o'clock
un secondo;one second
un giorno;one day
due giorni;two days
almeno;at least
devo;I must
devo bere del vino;I must drink some wine
devo andare al bagno;I must go to the bathroom
devo andare al Vaticano;I must go to the Vatican
noioso;boring
penso che sia noioso;i think it is boring
penso che sia bellissimo;I think this is beautiful
potrei;I might
potrei bere birra;I might drink beer
potrei essere americano;I might be American
soddisfatto;satisfied
potresti essere soddisfatto;you might be satisfied
deludente;disappointing
potrebbe essere una delusione;It might be disappointing
pericoloso;dangerous
potrebbe essere pericoloso;it might be dangerous
rumoroso;noisy
meraviglioso;wonderful
dovrei;I should
dovrei andare a Roma;I should go to Rome
dovrei bere acqua;I should drink water
qualcosa;something
il caffè è caldo;the coffee is hot
è il caffè di John;it is John's coffee
io do;I give
io do del caffè a John;I give John some coffee
Gli diamo del caffè;We give him some coffee
è la birra di Jane;It is Jane's beer
do una birra a Jane;I give Jane a beer
le diamo una birra;We give her a beer
il vino è squisito;The wine is exquisite
è il caffè di Pietro;It is Peter's coffee
io do del caffè a Pietro;I give Peter some coffee
diamo del caffè a Pietro;we give Peter some coffee
lei deve darmi del caffè;she must give me some coffee
a chi devo darlo?;who must I give it to?
chi me l'ha dato?;who gave it to me?
lei ha bisogno di una birra;she needs a beer
devi darmi il caffè;you must give the coffee to me
non do della birra a Jane;I don't give some beer to Jane
studio;I study
studio italiano;I study Italian
che cosa stai facendo?;What are you doing?
sto studiando italiano;I am studying Italian
sto aspettando;I am waiting
sta aspettando un taxi;he is waiting for a taxi
lo sta aspettando;she is waiting for him
andrò;I will go
pagherò;I will pay
mangerò;I will eat
mangerà;he will eat
quando;when
quando ci andrai?;When will you go there?
quando ci andrà?;When will she go there?
andrò domani;I will go tomorrow
dopo;later
oggi;today
domani;tomorrow
pomeriggio;afternoon
la prossima settimana;next week
Andrò a Firenze la prossima settimana;I will go to Florence next week
stazione ferroviaria;train station
vado;I am going
vado a Londra;I am going to London
stai andando al ristorante?;Are you going to the restaurant?
sì, sto andando al ristorante;Yes, I am going to the restaurant
mangia questo;eat this
bevi questo;drink this
aspetta qui;wait here
fermati qui;stop here
hai intenzione di arrivare oggi?;Are you going to arrive today?
parlerò in italiano;I will speak in Italian
presto;soon
ne parliamo più tardi;We'll speak about it later
lo vedrò all'aeroporto;I will see him at the airport
sarà divertente;It will be fun
sarà difficile;It will be difficult
incredibile;incredible
sarà incredibile;It will be incredible
lentamente;slowly
più;more
puoi parlare più lentamente, per favore?;can you speak more slowly please?
ripeti;you repeat
puoi ripetere, per favore?;Can you repeat that please?
c'era;there was
c'era qualche problema?;was there some problem?
c'era un problema;there was a problem
c'era del vino?;was there any wine?
qualcuno;someone
c'era qualcuno là;there was someone there
sono andato;I went
sono andato in Inghilterra;I went to England
è andato a Firenze la scorsa settimana;he went to Florence last week
avevo freddo;I was cold
non c'era vino;there wasn't any wine
non c'era nessun taxi;there weren’t any taxis
ho bevuto una birra;I drank a beer
ha bevuto del vino;He drank some wine
hai bevuto dell'acqua;You drank some water
non ho mangiato carne di manzo;I didn't eat any beef
lui non ha mangiato nessuna verdura;He didn't eat any vegetables
era felice?;Was he happy?
aveva fame?;Was he hungry?
non ero felice;I wasn’t happy
lui non aveva freddo;he wasn't cold
non era affamata;she wasn’t hungry
tu non eri arrabbiato;you weren't angry
la colpa;fault
non era colpa mia;it wasn't my fault
io inizio;I start
ho iniziato a imparare l'italiano la settimana scorsa;I started learning Italian last week
sto imparando l'italiano da un mese;I have been learning Italian for one month
sono andato in America due mesi fa;I went to America two months ago
sono venuto in Italia sei settimane fa;I came to Italy six weeks ago
divertente;fun
divertirsi;to have fun
mi sono divertito con te;I had fun with you
mi sono divertito in America;I had fun in America
mi sono divertito ieri notte;I had fun last night
ho detto che sarei arrivato oggi;I said I would arrive today